Spanish,English
decir,tell
os,you
ir,go
general,general
extraño extrañar,Strange miss
semana,week
coche,car
peor bien,worse well
mucho,much
disculpar,excuse
decir,tell
anoche,last night
perder,to lose
ir,go
nave,ship
cielo,sky
haber,to have
orden,order
seguro,sure
querida querido querer,Dear dear love
niña,girl
increíble,incredible
además,further
deber,must
libro,book
calle callar,Callar street.
café,coffee
pensar,think
hacer,do
especial,special
querer,want
ir,go
perfecto,perfect
buscar,search for
odio odiar,I hate hate
pensar,think
oficina,office
hablar habla,Speak talk about
libre,free
agente,agent
Nueva York jamón york,New York Ham York
llamar,to call
malo mala,bad bad
detrás,behind
ver,see
decir,tell
grande,big
recordar,remember
real,real
estar,be
mío,Own
frente,forehead
perder,to lose
llamar,to call
muerto,dead
millón,million
asesino asesinar,murderer murder
sueño soñar,Dream dream
querer,want
haber,to have
hacer,do
viaje viajar,Travel travel.
probablemente,probably
resto,rest
estar,be
maldición,curse
lamento lamentar,Regret lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza forzar,Force Force
llamado llamar,Call call
oído oír,hear hearing
dado dar,Given Dar.
encima,on
negro,black
usar,use
información,information
ustedes,your
preguntar pregunta,Ask question
tener,have
secreto,secret
volver,return
mirar,look at
querer,want
hacer,do
acabar,finish
otro,other
incluso,even
sentir sentar,feel together
deber,must
hacer haz,do
decir,tell
boca,mouth
dolor,pain
baño bañar,Bathroom Bathroom.
adentro,inside
profesor,teacher
habitación,bedroom
daño dañar,Damage damage
tuyo,of yours
ser,to be
noticia,News
demás,the rest
querido querer,Dear love
duro durar,hard to last
poner,set
prueba probar,Try test
mirar,look at
tonto,foolish
campo campar,Field Campar.
ser,to be
diez,ten
ese,that
tranquilo,calm
asunto,matter
acabar,finish
quedar,stay
derecho,right
placer,pleasure
recordar,remember
estar,be
tratar,try
ejército,army
futuro,future
llevar,bring
compañía,company
venir,come
listo,ready
hacer,do
sitio,site
ver,see
puesto poner,Put put.
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,White
raro,weird
palabra,word
llegar,arrive
sal salir,Salt out
pasar,pass
mente,mind
sistema,system
película,film
andar,walk
ello,it
negocio negociar,Business trading
novia,girlfriend
permiso,Excuse me
creer,believe
sonar,Dream
ocurrir,occur
oficial,official
esperar,expect
aire,air
matar,kill
regresar,to get back
ver,see
hacer,do
trasero,rear
grupo,group
entender,understand
señorita,miss
música,music
perra,bitch
conocer,know
empezar,start
sentir sentar,feel together
acabar,finish
estúpido,stupid
diferente,different
traer traje,Bring a suit
modo,mode
encontrar,meet
mensaje,message
llamada llamar,call call.
navidad,Christmas
ser,to be
pena penar,Pena Penar.
largo largar,long long
entrar,get in
piso pisar,Floor tread
foto,Photo
decir,tell
médico,doctor
accidente,accident
ir ser,go be
imposible,impossible
poder,can
línea,line
propio,own
barco,boat
ganar,to win
normal,normal
segundo,second
vivir,to live
mitad,half
querer,want
tras,after
decir,tell
lindo,cute
funcionar,function
programa,Program
venir,come
abrir,to open
ser,to be
pagar,to pay
foto,Photo
centro centrar,Center center
suponer,suppose
basura,trash
situación,situation
mejor,better
venir,come
encantar,love
marido,husband
personal,personal
maestro,teacher
hambre,hungry
ataque atacar,attack attack
culo,ass
dar,give
pie,foot
conseguir,get
trabajar,to work
gracioso,funny
dejar,let
poder,can
derecha,right
izquierda,left
próximo,next
pobre,poor
respuesta,answer
tipo,type
sentir,feel
tener,have
poder,can
dar,give
voz,voice
amiga,friend
gustar,like
vista ver,View view.
salvo salvar,Unless saved
loco,mad
hotel,hotel
hacer,do
tener,have
temer,fear
señal,sign
pelo pelar,Hair peel
llevar,bring
ayer,Yesterday
dar,give
nena,Chick
servicio,service
tren,train
bonito,beautiful
mes,month
tener,have
tener,have
edad,age
ellas,they
hermoso,handsome
honor,honor
simplemente,simply
llamar llama,call call
tener,have
correr,to run
bajo baja,Low low
sol,Sun
sentar,sit
dar,give
humano,human
divertido divertir,Funny fun
sexo,sex
vuelto volver,returned back
peligro peligrar,danger danger
mesa,desk
siguiente,following
hablar,speak
disculpa disculpar,Sorry sorry
decir,tell
caja,cash register
negocio negociar,Business trading
misión,mission
silencio,be quiet
salir,get out
llegar,arrive
estar,be
regreso regresar,Return return.
media medio,medium average
estar,be
propio,own
oro orar,Gold ORAR.
enseguida,right away
lindo,cute
prometer,promise
esposo esposar,Husband handcuff
norte,North
haber,to have
jurar,swear
muerto morir,Dead dying
interesante,interesting
pensar,think
buscar busca,Search search
terminar,end up
tener,have
completamente,completely
cita citar,Quote Quote
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,why
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,edifice
ir,go
aun,still
tener,have
ir,go
dar,give
traer,to bring
salir,get out
ley,law
ahí,there
verdadero,true
pelea pelear,Fight fight.
banco,Bank
terrible,terrible
calma calmar,Calm calm
cena cenar,Dinner dinner
dar,give
gobierno,government
comprar,purchase
creer crear,think create
sargento,sergeant
destino,destination
existir,exist
hacer,do
novio,boyfriend
sala,living room
través,through
regalo regalar,Gift gift
iglesia,church
decir,tell
cualquiera,anyone
excelente,Excellent
esperar,expect
deseo desear,I want to wish
alma,soul
diablo,Devil
dejar,let
cuántos,many
espada,sword
estar,be
carne,meat
maravilloso,marvelous
vida,life
suceder,happen
oír,hear
peligroso,dangerous
dirección,address
libertad,Liberty
Jesús,Jesus
ocurrir,occur
ver,see
sueño,dream
poder,can
detective,detective
sorpresa,surprise
tuyo,of yours
pie,foot
club,club
terminar,end up
infierno,hell
creer,believe
luna,Moon
salvar,save
carta,letter
estar,be
cielo,sky
teniente,lieutenant
encontrar,meet
ver,see
querer,want
escuchar,hear
necesitar,need
ambos ambo,Both ambo.
decisión,decision
enemigo,enemy
hacer,do
dulce,candy
prueba probar,Try test
querer,want
abuelo,Grandpa
totalmente,completely
mirar,look at
ir,go
carrera,race
